model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
xgboost-6,1,0.3,0.0,1,1,1225,2025-04-16,2025-04-16,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-04-15,2025-04-15,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-04-14,2025-04-14,5,initial,5
xgboost-6,1,0.0,1.0,1,0,1225,2025-04-11,2025-04-11,5,initial,5
xgboost-6,1,0.15,1.0,1,0,1225,2025-04-10,2025-04-10,5,initial,5
xgboost-6,1,0.05,1.0,1,0,1225,2025-04-09,2025-04-09,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-04-08,2025-04-08,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-04-07,2025-04-07,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-04-04,2025-04-04,5,initial,5
xgboost-6,1,0.2,1.0,1,0,1225,2025-04-03,2025-04-03,5,initial,5
xgboost-6,1,0.3,1.0,1,0,1225,2025-04-02,2025-04-02,5,initial,5
xgboost-6,1,0.35,1.0,1,0,1225,2025-04-01,2025-04-01,5,initial,5
xgboost-6,1,0.65,0.0,1,0,1225,2025-03-31,2025-03-31,5,initial,5
xgboost-6,1,0.9,0.0,1,0,1225,2025-03-28,2025-03-28,5,initial,5
xgboost-6,1,0.95,0.0,1,0,1225,2025-03-27,2025-03-27,5,initial,5
xgboost-6,1,0.95,0.0,1,0,1225,2025-03-26,2025-03-26,5,initial,5
xgboost-6,1,0.35,1.0,1,0,1225,2025-03-25,2025-03-25,5,initial,5
xgboost-6,1,0.85,0.0,1,0,1225,2025-03-24,2025-03-24,5,initial,5
xgboost-6,1,0.95,0.0,1,0,1225,2025-03-21,2025-03-21,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-03-20,2025-03-20,5,initial,5
xgboost-6,1,0.7,1.0,1,1,1225,2025-03-19,2025-03-19,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-03-18,2025-03-18,5,initial,5
xgboost-6,1,0.4,0.0,1,1,1225,2025-03-17,2025-03-17,5,initial,5
xgboost-6,1,0.35,0.0,1,1,1225,2025-03-14,2025-03-14,5,initial,5
xgboost-6,1,0.85,1.0,1,1,1225,2025-03-13,2025-03-13,5,initial,5
xgboost-6,1,0.65,1.0,1,1,1225,2025-03-12,2025-03-12,5,initial,5
xgboost-6,1,1.0,1.0,1,1,1225,2025-03-11,2025-03-11,5,initial,5
xgboost-6,1,0.95,1.0,1,1,1225,2025-03-10,2025-03-10,5,initial,5
xgboost-6,1,0.9,0.0,1,0,1225,2025-03-07,2025-03-07,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-03-06,2025-03-06,5,initial,5
xgboost-6,1,0.4,1.0,1,0,1225,2025-03-05,2025-03-05,5,initial,5
xgboost-6,1,0.95,0.0,1,0,1225,2025-03-04,2025-03-04,5,initial,5
xgboost-6,1,0.8,0.0,1,0,1225,2025-03-03,2025-03-03,5,initial,5
xgboost-6,1,0.5,1.0,1,0,1225,2025-02-28,2025-02-28,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1225,2025-02-27,2025-02-27,5,initial,5
xgboost-6,1,0.35,1.0,1,0,1225,2025-02-26,2025-02-26,5,initial,5
xgboost-6,1,0.95,0.0,1,0,1225,2025-02-25,2025-02-25,5,initial,5
xgboost-6,1,0.65,0.0,1,0,1225,2025-02-24,2025-02-24,5,initial,5
xgboost-6,1,0.95,0.0,1,0,1225,2025-02-21,2025-02-21,5,initial,5
xgboost-6,1,0.9,0.0,1,0,1225,2025-02-20,2025-02-20,5,initial,5
xgboost-6,1,0.9,0.0,1,0,1225,2025-02-19,2025-02-19,5,initial,5
xgboost-6,1,0.7,0.0,1,0,1225,2025-02-18,2025-02-18,5,initial,5
xgboost-6,1,0.9,0.0,1,0,1225,2025-02-14,2025-02-14,5,initial,5
xgboost-6,1,0.4,1.0,1,0,1225,2025-02-13,2025-02-13,5,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2026-01-13,2026-01-13,6,initial,5
xgboost-6,1,0.6,0.0,1,0,1470,2026-01-12,2026-01-12,6,initial,5
xgboost-6,1,0.85,0.0,1,0,1470,2026-01-09,2026-01-09,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2026-01-08,2026-01-08,6,initial,5
xgboost-6,1,0.9,0.0,1,0,1470,2026-01-07,2026-01-07,6,initial,5
xgboost-6,1,0.8,1.0,1,1,1470,2026-01-06,2026-01-06,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2026-01-05,2026-01-05,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2026-01-02,2026-01-02,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-12-31,2025-12-31,6,initial,5
xgboost-6,1,0.2,0.0,1,1,1470,2025-12-30,2025-12-30,6,initial,5
