run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,n_features,pi_size,min_feats,feature_set,horizon
12,xgboost-2,1,0.75,1.0,1,1,0,1.0,0.0,1225,2021-02-11,2025-12-26,2025-12-31,2025-12-31,5,12,0.67,12,baseline,2
12,xgboost-2,1,0.5,1.0,1,1,0,1.0,0.0,1225,2021-02-11,2025-12-26,2025-12-31,2025-12-31,5,6,1.0,6,baseline,2
12,xgboost-2,1,0.4,0.0,1,1,0,1.0,0.0,1225,2021-02-11,2025-12-26,2025-12-31,2025-12-31,5,8,1.0,8,baseline,2
12,xgboost-2,1,0.85,1.0,1,1,0,1.0,0.0,1225,2021-02-11,2025-12-26,2025-12-31,2025-12-31,5,12,1.0,12,baseline,2
13,xgboost-2,1,0.25,1.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,6,0.33,6,baseline,2
13,xgboost-2,1,0.55,0.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,8,0.33,8,baseline,2
13,xgboost-2,1,0.5,1.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,12,0.33,12,baseline,2
13,xgboost-2,1,0.5,0.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,6,0.67,6,baseline,2
13,xgboost-2,1,0.35,1.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,8,0.67,8,baseline,2
13,xgboost-2,1,0.3,1.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,12,0.67,12,baseline,2
13,xgboost-2,1,0.5,0.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,6,1.0,6,baseline,2
13,xgboost-2,1,0.9,0.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,8,1.0,8,baseline,2
13,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-10,2025-12-24,2025-12-30,2025-12-30,5,12,1.0,12,baseline,2
14,xgboost-2,1,0.0,1.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,6,0.33,6,baseline,2
14,xgboost-2,1,0.15,1.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,8,0.33,8,baseline,2
14,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,12,0.33,12,baseline,2
14,xgboost-2,1,0.7,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,6,0.67,6,baseline,2
